Conference,Track,Index,Paper
ICMR22,Applications,Computing methodologies,STAFNet: Swin Transformer Based Anchor-Free Network for Detection of Forward-looking Sonar Imagery
ICMR22,Robust MM,Computing methodologies/Security and privacy/Applied computing,Camouflaged Poisoning Attack on Graph Neural Networks
ICMR22,Robust MM,Information systems,Accelerated Sign Hunter: A Sign-based Black-box Attack via Branch-Prune Strategy and Stabilized Hierarchical Search
ICMR22,Robust MM,Computing methodologies,DiGAN: Directional Generative Adversarial Network for Object Transfiguration
ICMR22,Robust MM,Information systems/Computing methodologies,GIO: A Timbre-informed Approach for Pitch Tracking in Highly Noisy Environments
ICMR22,"Action, Pose and Body",Computing methodologies,Source-free Temporal Attentive Domain Adaptation for Video Action Recognition
ICMR22,"Action, Pose and Body",Computing methodologies,Review of Deep Learning Models for Spine Segmentation
ICMR22,"Action, Pose and Body",Computing methodologies,3D-Augmented Contrastive Knowledge Distillation for Image-based Object Pose Estimation
ICMR22,"Action, Pose and Body",Computing methodologies,Selective Hypergraph Convolutional Networks for Skeleton-based Action Recognition
ICMR22,Multifarious Multimedia,Information systems/Computing methodologies/General and reference,Self-Lifting: A Novel Framework for Unsupervised Voice-Face Association Learning
ICMR22,Multifarious Multimedia,Information systems,Revisiting Performance Measures for Cross-Modal Hashing
ICMR22,Multifarious Multimedia,Computing methodologies,Local Slot Attention for Vision and Language Navigation
ICMR22,Multifarious Multimedia,Computing methodologies,Cross-Pixel Dependency with Boundary-Feature Transformation for Weakly Supervised Semantic Segmentation
ICMR22,Multifarious Multimedia,Human-centered computing/Computing methodologies,Mobile Emotion Recognition via Multiple Physiological Signals using Convolution-augmented Transformer
ICMR22,Adversarial Learning for Multimedia Understanding and Retrieval,Computing methodologies,VAC-Net: Visual Attention Consistency Network for Person Re-identification
ICMR22,Adversarial Learning for Multimedia Understanding and Retrieval,Computing methodologies,MFGAN: A Lightweight Fast Multi-task Multi-scale Feature-fusion Model based on GAN
ICMR22,Adversarial Learning for Multimedia Understanding and Retrieval,Computing methodologies/Theory of computation,Adaptive Temporal Grouping for Black-box Adversarial Attacks on Videos
ICMR22,"Transformer-based Multimedia Understanding: Model Design, Learning, Distillation",Computing methodologies,Parallelism Network with Partial-aware and Cross-correlated Transformer for Vehicle Re-identification
ICMR22,"Transformer-based Multimedia Understanding: Model Design, Learning, Distillation",Applied computing/Information systems,Motor Learning based on Presentation of a Tentative Goal
ICMR22,"Transformer-based Multimedia Understanding: Model Design, Learning, Distillation",Applied computing/Computing methodologies,Extracting Precedence Relations between Video Lectures in MOOCs
ICMR22,"Transformer-based Multimedia Understanding: Model Design, Learning, Distillation",Computing methodologies,M2TR: Multi-modal Multi-scale Transformers for Deepfake Detection
ICMR22,"Transformer-based Multimedia Understanding: Model Design, Learning, Distillation",Computing methodologies,Blindfold Attention: Novel Mask Strategy for Facial Expression Recognition
ICMR22,"Transformer-based Multimedia Understanding: Model Design, Learning, Distillation",Information systems,MSSPQ: Multiple Semantic Structure-Preserving Quantization for Cross-Modal Retrieval
ICMR22,Weakly Supervised Learning for Medical Image Analysis,Computing methodologies,Lesion Localization in OCT by Semi-Supervised Object Detection
ICMR22,Weakly Supervised Learning for Medical Image Analysis,Applied computing/Computing methodologies,Weakly Supervised Pediatric Bone Age Assessment Using Ultrasonic Images via Automatic Anatomical RoI Detection
ICMR22,Weakly Supervised Learning for Medical Image Analysis,Computer systems organization/Networks,I2-Net: Intra- and Inter-scale Collaborative Learning Network for Abdominal Multi-organ Segmentation
ICMR22,Weakly Supervised Learning for Medical Image Analysis,Computing methodologies,SA-NAS-BFNR: Spatiotemporal Attention Neural Architecture Search for Task-based Brain Functional Network Representation
ICMR22,Weakly Supervised Learning for Medical Image Analysis,Computing methodologies,Weakly-supervised Cerebrovascular Segmentation Network with Shape Prior and Model Indicator
